file|pages|chars|empty_pages|confidence
1. Introduction, Sources, Historiography.pdf|81|210134|1|0.996
10. Early Medieval 600 A.D - 1200 A.D.pdf|163|356839|4|0.988
2. Palaeolithic and Mesolithic.pdf|55|120514|0|0.990
3. Neolithic - Chalcolithic.pdf|53|145195|0|0.991
4. Harappan Civilization.pdf|83|186732|0|0.988
5. 2000 B.C - 600 B.C Vedic Age, Megalithic etc.pdf|111|280600|0|0.995
6. 600 B.C -300 B.C North India Mahajanpads onwards.pdf|89|259170|0|0.995
7. Maurayan Empire 324 B.C - 187 B.C.pdf|73|194952|0|0.997
8. 200 B.C - 300 C.E.pdf|167|397526|1|0.991
9. 300 C.E - 600 C.E.pdf|116|294455|2|0.998
